?,[37],"""TextControlCommandBarContextFlyout""",object {string},{Microsoft.UI.Xaml.Controls.TextCommandBarFlyout},object {Microsoft.UI.Xaml.Controls.TextCommandBarFlyout},{Microsoft.UI.Xaml.Controls.TextCommandBarFlyout}
?,[38],"""TextControlCommandBarSelectionFlyout""",object {string},{Microsoft.UI.Xaml.Controls.TextCommandBarFlyout},object {Microsoft.UI.Xaml.Controls.TextCommandBarFlyout},{Microsoft.UI.Xaml.Controls.TextCommandBarFlyout}
,[39],"""RequiredHeaderContent""",object {string},"""*""",object {string},"""*"""
?,[40],"""TextBoxInnerButtonMargin""",object {string},"{0,4,4,4}",object {Microsoft.UI.Xaml.Thickness},"{0,4,4,4}"
,[41],"""TextBoxIconFontSize""",object {string},12,object {double},12
?,[42],"""TextBoxTopHeaderMargin""",object {string},"{0,0,0,8}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,8}"
?,[43],"""DefaultTextBoxStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""TextBox"" FullName = ""Microsoft.UI.Xaml.Controls.TextBox""}"
?,[44],"""DefaultSplitViewStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""SplitView"" FullName = ""Microsoft.UI.Xaml.Controls.SplitView""}"
?,[45],"""SliderTrackCornerRadius""",object {string},"{2,2,2,2}",object {Microsoft.UI.Xaml.CornerRadius},"{2,2,2,2}"
,[46],"""ControlFastAnimationDuration""",object {string},"""00:00:00.167""",object {string},"""00:00:00.167"""
?,[47],"""TopLeftCornerRadiusDoubleValueConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[48],"""BottomRightCornerRadiusDoubleValueConverter""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[49],"""SliderThumbCornerRadius""",object {string},"{10,10,10,10}",object {Microsoft.UI.Xaml.CornerRadius},"{10,10,10,10}"
,[50],"""SliderInnerThumbWidth""",object {string},12,object {double},12
,[51],"""SliderInnerThumbHeight""",object {string},12,object {double},12
?,[52],"""SliderTopHeaderMargin""",object {string},"{0,0,0,4}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,4}"
,[53],"""SliderHorizontalHeight""",object {string},32,object {double},32
,[54],"""SliderPreContentMargin""",object {string},15,object {double},15
,[55],"""SliderPostContentMargin""",object {string},15,object {double},15
,[56],"""SliderHorizontalThumbHeight""",object {string},18,object {double},18
,[57],"""SliderHorizontalThumbWidth""",object {string},18,object {double},18
,[58],"""SliderVerticalWidth""",object {string},32,object {double},32
,[59],"""SliderVerticalThumbWidth""",object {string},18,object {double},18
,[60],"""SliderVerticalThumbHeight""",object {string},18,object {double},18
?,[61],"""DefaultSliderStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""Slider"" FullName = ""Microsoft.UI.Xaml.Controls.Slider""}"
,[62],"""ScrollViewerSeparatorContractDelay""",object {string},"""00:00:02""",object {string},"""00:00:02"""
,[63],"""ScrollViewerSeparatorContractDuration""",object {string},"""00:00:00.1""",object {string},"""00:00:00.1"""
,[64],"""ScrollViewerSeparatorContractBeginTime""",object {string},"""00:00:02.00""",object {string},"""00:00:02.00"""
,[65],"""ScrollViewerSeparatorExpandDuration""",object {string},"""00:00:00.1""",object {string},"""00:00:00.1"""
,[66],"""ScrollViewerSeparatorExpandBeginTime""",object {string},"""00:00:00.40""",object {string},"""00:00:00.40"""
?,[67],"""ScrollViewerScrollBarMargin""",object {string},"{1,1,1,1}",object {Microsoft.UI.Xaml.Thickness},"{1,1,1,1}"
?,[68],"""DefaultScrollViewerStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ScrollViewer"" FullName = ""Microsoft.UI.Xaml.Controls.ScrollViewer""}"
?,[69],"""RichEditBoxTopHeaderMargin""",object {string},"{0,0,0,8}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,8}"
?,[70],"""DefaultRichEditBoxStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""RichEditBox"" FullName = ""Microsoft.UI.Xaml.Controls.RichEditBox""}"
?,[71],"""DefaultRadioMenuFlyoutItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""RadioMenuFlyoutItem"" FullName = ""Microsoft.UI.Xaml.Controls.RadioMenuFlyoutItem""}"
,[72],"""RadioButtonCheckGlyphSize""",object {string},12,object {double},12
?,[73],"""DefaultRadioButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""RadioButton"" FullName = ""Microsoft.UI.Xaml.Controls.RadioButton""}"
?,[74],"""ButtonPadding""",object {string},"{11,5,11,6}",object {Microsoft.UI.Xaml.Thickness},"{11,5,11,6}"
?,[75],"""DefaultToggleButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ToggleButton"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.ToggleButton""}"
,[76],"""ScrollBarSize""",object {string},12,object {double},12
?,[77],"""ScrollBarCornerRadius""",object {string},"{3,3,3,3}",object {Microsoft.UI.Xaml.CornerRadius},"{3,3,3,3}"
,[78],"""ScrollBarButtonArrowIconFontSize""",object {string},8,object {double},8
,[79],"""ScrollBarColorChangeDuration""",object {string},"""00:00:00.083""",object {string},"""00:00:00.083"""
,[80],"""ScrollBarOpacityChangeDuration""",object {string},"""00:00:00.083""",object {string},"""00:00:00.083"""
,[81],"""ScrollBarContractDuration""",object {string},"""00:00:00.167""",object {string},"""00:00:00.167"""
,[82],"""ScrollBarVerticalThumbMinWidth""",object {string},8,object {double},8
,[83],"""ScrollBarThumbOffset""",object {string},2,object {double},2
,[84],"""ScrollBarHorizontalThumbMinHeight""",object {string},8,object {double},8
,[85],"""ScrollBarContractBeginTime""",object {string},"""00:00:00.50""",object {string},"""00:00:00.50"""
,[86],"""ScrollBarExpandBeginTime""",object {string},"""00:00:00.40""",object {string},"""00:00:00.40"""
,[87],"""ScrollBarExpandDuration""",object {string},"""00:00:00.167""",object {string},"""00:00:00.167"""
?,[88],"""TopLeftCornerRadiusDoubleValueConverter2x""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
?,[89],"""BottomRightCornerRadiusDoubleValueConverter2x""",object {string},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},object {Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter},{Microsoft.UI.Xaml.Controls.Primitives.CornerRadiusFilterConverter}
,[90],"""ScrollBarHorizontalThumbMinWidth""",object {string},30,object {double},30
,[91],"""ScrollBarVerticalThumbMinHeight""",object {string},30,object {double},30
?,[92],"""ScrollBarHorizontalIncreaseMargin""",object {string},"{0,0,4,0}",object {Microsoft.UI.Xaml.Thickness},"{0,0,4,0}"
,[93],"""ScrollBarButtonArrowScalePressed""",object {string},0.875,object {double},0.875
?,[94],"""ScrollBarHorizontalDecreaseMargin""",object {string},"{4,0,0,0}",object {Microsoft.UI.Xaml.Thickness},"{4,0,0,0}"
?,[95],"""ScrollBarVerticalIncreaseMargin""",object {string},"{0,0,0,4}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,4}"
?,[96],"""ScrollBarVerticalDecreaseMargin""",object {string},"{0,4,0,0}",object {Microsoft.UI.Xaml.Thickness},"{0,4,0,0}"
,[97],"""ScrollBarThumbStrokeThickness""",object {string},6,object {double},6
?,[98],"""DefaultScrollBarStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ScrollBar"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.ScrollBar""}"
?,[99],"""DefaultRepeatButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""RepeatButton"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.RepeatButton""}"
?,[100],"""DefaultPivotHeaderItemStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""PivotHeaderItem"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.PivotHeaderItem""}"
,[101],"""LoopingSelectorUpDownButtonScalePressed""",object {string},0.875,object {double},0.875
?,[102],"""DateTimePickerFlyoutLoopingSelectorNavigationButtonStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""ButtonBase"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.ButtonBase""}"
?,[103],"""LoopingSelectorUpDownButtonMargin""",object {string},"{0,0,0,0}",object {Microsoft.UI.Xaml.Thickness},"{0,0,0,0}"
,[104],"""LoopingSelectorUpDownButtonHeight""",object {string},34,object {double},34
?,[105],"""DefaultLoopingSelectorStyle""",object {string},{Microsoft.UI.Xaml.Style},object {Microsoft.UI.Xaml.Style},"{Name = ""LoopingSelector"" FullName = ""Microsoft.UI.Xaml.Controls.Primitives.LoopingSelector""}"
?,[106],"""LoopingSelectorItemMargin""",object {string},"{4,2,4,2}",object {Microsoft.UI.Xaml.Thickness},"{4,2,4,2}"
